,symbol,price,beta,volAvg,mktCap,lastDiv,range,changes,companyName,currency,cik,isin,cusip,exchange,exchangeShortName,industry,website,description,ceo,sector,country,fullTimeEmployees,phone,address,city,state,zip,dcfDiff,dcf,image,ipoDate,defaultImage
10,ADI,153.2,1.3131,2642667.0,56592691000,2.48,79.08-162.98,4.44,Analog Devices Inc,USD,0000006281,US0326541051,032654105,Nasdaq Global Select,NASDAQ,Semiconductors,http://www.analog.com/,"Analog Devices, Inc. designs, manufactures, and markets integrated circuits (ICs), algorithms, software, and subsystems that leverage analog, mixed-signal, and digital signal processing technologies. The company offers data converter products, which translate real-world analog signals into digital data, as well as translates digital data into analog signals; high-performance amplifiers to condition analog signals; and radio frequency and microwave ICs to support cellular infrastructure. It also provides power management and reference products for power management and conversion applications in the automotive, communications, industrial, and high-end consumer markets; and microelectromechanical systems technology solutions, including accelerometers used to sense acceleration, gyroscopes to sense rotation, and inertial measurement units to sense multiple degrees of freedom. In addition, the company offers isolators for various applications, such as universal serial bus isolation in patient monitors; and smart metering and satellite applications, as well as digital signal processing products for high-speed numeric calculations. The company serves clients in industrial, automotive, consumer, and communications markets through a direct sales force, third-party distributors, and independent sales representatives in the United States, the rest of North and South America, Europe, Japan, China, and the rest of Asia, as well as through its Website. It has a strategic collaboration with Pinpoint Science Inc. to advance the development and manufacture of novel nanosensor diagnostics. Analog Devices, Inc. was founded in 1965 and is headquartered in Norwood, Massachusetts.",Mr. Vincent Roche,Technology,US,15900,17813294700,1 Technology Way,Norwood,MASSACHUSETTS,02062,-93.11,126.499,https://financialmodelingprep.com/image-stock/ADI.png,1979-04-03,False
11,ADM,53.65,0.90057,2457824.0,29834981400,1.8099999999999996,28.92-53.99,0.72,Archer-Daniels-Midland Co,USD,0000007084,US0394831020,039483102,New York Stock Exchange,NYSE,Farm Products,https://www.adm.com/,"Archer-Daniels-Midland Company procures, transports, stores, processes, and merchandises agricultural commodities, products, and ingredients in the United States and internationally. The company operates through three segments: Ag Services and Oilseeds, Carbohydrate Solutions, and Nutrition. It procures, stores, cleans, and transports agricultural raw materials, such as oilseeds, corn, wheat, milo, oats, rice, and barley. The company also engages in the agricultural commodity and feed product import, export, and distribution; and structured trade finance activities. In addition, it offers vegetable oils and protein meals; ingredients for the food, feed, energy, and industrial customers; crude vegetable oils, salad oils, margarine, shortening, and other food products; and partially refined oils to produce biodiesel and glycols for use in chemicals, paints, and other industrial products. Further, the company provides peanuts, tree nuts, peanut-derived ingredients, and cotton cellulose pulp; sweeteners, corn and wheat starches, syrup, glucose, wheat flour, dextrose, and bioproducts; alcohol and other food and animal feed ingredients; ethyl alcohol and ethanol; corn gluten feed and meal, as well as distillers' grains; and citric acids. Additionally, the company provides natural flavor ingredients, flavor systems, natural colors, proteins, emulsifiers, soluble fiber, polyols, hydrocolloids, and natural health and nutrition products, including probiotics, prebiotics, enzymes, and botanical extracts; and other specialty food and feed ingredients; edible beans; formula feeds, and animal health and nutrition products; and contract and private label pet treats and foods. It also engages in futures commission merchant and insurance services. The company has a partnership with Hospital de Sagunto. The company was founded in 1902 and is headquartered in Chicago, Illinois.",Mr. Juan Luciano,Consumer Defensive,US,38100,13126348233,77 W Wacker Dr,Chicago,ILLINOIS,60601,,52.318,https://financialmodelingprep.com/image-stock/ADM.png,1924-12-24,False
12,ADP,167.92,0.76474,1702753.0,71859683000,3.66,103.11-182.32,0.64,Automatic Data Processing Inc,USD,0000008670,US0530151036,053015103,Nasdaq Global Select,NASDAQ,Staffing & Employment Services,https://www.adp.com/,"Automatic Data Processing, Inc. provides cloud-based human capital management solutions worldwide. It operates through two segments, Employer Services and Professional Employer Organization (PEO). The Employer Services segment offers strategic, cloud-based platforms, and human resources (HR) outsourcing solutions. Its offerings include payroll, benefits administration, talent management, HR management, workforce management, insurance, retirement, and compliance services. The PEO Services segment provides HR outsourcing solutions to small and mid-sized businesses through a co-employment model. This segment offers benefits package, protection and compliance, talent engagement, comprehensive outsourcing, and recruitment process outsourcing services. The company was founded in 1949 and is headquartered in Roseland, New Jersey.",Mr. Carlos Rodriguez,Industrials,US,58000,19739745000,1 Adp Blvd,Roseland,NEW JERSEY,07068,-80.04,151.261,https://financialmodelingprep.com/image-stock/ADP.png,1961-09-01,False
13,ADS,86.51,2.58481,1084401.0,4292782080,1.47,20.51-107.0,1.65,Alliance Data Systems Corp,USD,0001101215,US0185811082,018581108,New York Stock Exchange,NYSE,Credit Services,https://www.alliancedata.com/,"Alliance Data Systems Corporation provides data-driven marketing and loyalty solutions in the United States, Canada, Europe, the Middle East, Africa, the Asia Pacific, and others. It operates through two segments, LoyaltyOne and Card Services. The LoyaltyOne segment offers AIR MILES reward program; short term loyalty program; and loyalty services, which include loyalty consulting, customer analytics, creative services, and mobile solutions. The Card Services segment provides receivable financing services comprising underwriting and risk management; processing services, such as new account processing, bill processing, remittance processing, and customer care; and marketing services to private label and co-brand retail credit card programs. The company captures and analyzes data created during each customer interaction, leveraging the insight derived from that data to enable clients to identify and acquire new customers and to enhance customer loyalty. It serves clients across various end-markets, including financial services, specialty retail, grocery and drugstore chains, petroleum retail, home furnishing and hardware, beauty and jewelry, hospitality and travel, and telecommunications. Alliance Data Systems Corporation was founded in 1996 and is headquartered in Columbus, Ohio.",Mr. Ralph Andretta,Financial Services,US,8500,16147294000,3075 Loyalty Cir,Columbus,OHIO,,-689.01,124.728,https://financialmodelingprep.com/image-stock/ADS.png,2001-06-08,False
14,ADSK,302.81,1.4447,1432727.0,66584584000,0.0,125.38-321.13,-3.05,Autodesk Inc,USD,0000769397,US0527691069,052769106,Nasdaq Global Select,NASDAQ,Software Application,https://www.autodesk.com/,"Autodesk, Inc. operates as a software design and services company worldwide. The company offers AutoCAD, a professional design, drafting, detailing, and visualization software; AutoCAD Civil 3D, a surveying, design, analysis, and documentation solution for civil engineering, including land development, transportation, and environmental projects; AutoCAD LT, a drafting and detailing software; BIM 360, a construction management cloud-based software; computer-aided manufacturing (CAM) software for computer numeric control machining, inspection, and modelling for manufacturing; Fusion 360, a 3D CAD, CAM, and computer-aided engineering tool; and Industry Collections software products for professionals in architecture, engineering and construction, product design and manufacturing, and media and entertainment industries. It also provides Inventor tools for 3D mechanical design, simulation, analysis, tooling, visualization, and documentation; Maya and 3ds Max software products that offer 3D modeling, animation, effects, rendering, and compositing solutions; and PlanGrid, a cloud-based field collaboration software, which provides general contractors, subcontractors, owners, and architects access to construction information in real-time. In addition, the company offers Revit software for building information modeling; Shotgun, a cloud-based software for review and production tracking in the media and entertainment industry; Vault, a data management software to manage data in one central location, accelerate design processes, and streamline internal/external collaboration; and BuildingConnected, a construction management solution that centralizes and streamlines the bidding process. Autodesk, Inc. sells its products and services to customers directly, as well as through distributors and resellers. The company was founded in 1982 and is headquartered in San Rafael, California.",Dr. Andrew Anagnost,Technology,US,10100,14155075000,111 MCINNIS PKWY,San Rafael California,CALIFORNIA,94903,,261.986,https://financialmodelingprep.com/image-stock/ADSK.png,1985-05-01,False
15,AEE,72.59,0.29675,1631929.0,17944756200,2.0,58.74-87.66,-1.61,Ameren Corp,USD,0001002910,US0236081024,023608102,New York Stock Exchange,NYSE,Utilities Regulated Electric,https://www.ameren.com/,"Ameren Corporation, together with its subsidiaries, operates as a public utility holding company in the United States. It operates through four segments: Ameren Missouri, Ameren Illinois Electric Distribution, Ameren Illinois Natural Gas, and Ameren Transmission. The company engages in the rate-regulated electric generation, transmission, and distribution activities; and rate-regulated natural gas distribution and transmission businesses. It primarily generates electricity through coal, nuclear, and natural gas, as well as renewable sources, such as hydroelectric, methane gas, and solar. The company serves residential, commercial, and industrial customers. As of September 28, 2020, it served approximately 2.4 million electric customers and approximately 900,000 natural gas customers. The company was founded in 1881 and is headquartered in St. Louis, Missouri.",Mr. Warner Baxter,Utilities,US,9323,13146213222,1901 Chouteau Ave,St. Louis,MISSOURI,63103,,82.3548,https://financialmodelingprep.com/image-stock/AEE.png,1952-12-15,False
16,AEP,80.98,0.35667,3007348.0,40197665000,2.88,65.14-104.63,-1.21,American Electric Power Company Inc,USD,0000004904,US0255371017,025537101,New York Stock Exchange,NYSE,Utilities Regulated Electric,http://www.aep.com/,"American Electric Power Company, Inc., an electric public utility holding company, engages in the generation, transmission, and distribution of electricity for sale to retail and wholesale customers in the United States. It operates through Vertically Integrated Utilities, Transmission and Distribution Utilities, AEP Transmission Holdco, and Generation & Marketing segments. The company generates electricity using coal and lignite, natural gas, nuclear, and hydroelectric, as well as solar, wind, and other energy sources. It also supplies and markets electric power at wholesale to other electric utility companies, rural electric cooperatives, municipalities, and other market participants. The company owns, leases, or controls approximately 4,004 railcars, 468 barges, 8 towboats, and a coal handling terminal with approximately 18 million tons of annual capacity. American Electric Power Company, Inc. was founded in 1906 and is headquartered in Columbus, Ohio.",Mr. Nicholas Akins,Utilities,US,17408,16147161000,1 Riverside Plz,Columbus,OHIO,43215-2373,3627.74,90.8741,https://financialmodelingprep.com/image-stock/AEP.png,1949-09-01,False
17,AES,27.68,0.94047,6399327.0,18410825700,0.58,8.11-28.68,0.82,AES Corp,USD,0000874761,US00130H1059,00130H105,New York Stock Exchange,NYSE,Utilities Diversified,https://www.aes.com/,"The AES Corporation operates as a diversified power generation and utility company. It owns and/or operates power plants to generate and sell power to customers, such as utilities, industrial users, and other intermediaries. The company also owns and/or operates utilities to generate or purchase, distribute, transmit, and sell electricity to end-user customers in the residential, commercial, industrial, and governmental sectors; and generates and sells electricity on the wholesale market. It uses a range of fuels and technologies to generate electricity, including natural gas, coal, pet coke, diesel, and oil, as well as renewables, such as hydro, solar, wind, energy storage, biomass, and landfill gas. The company owns and/or operates a generation portfolio of approximately 30,471 megawatts. It has operations in the United States, Puerto Rico, El Salvador, Chile, Colombia, Argentina, Brazil, Mexico, Central America, the Caribbean, Europe, and Asia. The company was formerly known as Applied Energy Services, Inc. and changed its name to The AES Corporation in April 2000. The AES Corporation was founded in 1981 and is headquartered in Arlington, Virginia.",Dr. Andres Gluski,Utilities,US,8000,17035221315,4300 Wilson Blvd,Arlington,VIRGINIA,22203,,21.7527,https://financialmodelingprep.com/image-stock/AES.png,1996-10-16,False
18,AFL,46.28,0.78977,3918733.0,32046770200,1.4500000000000002,23.07-53.35,0.83,Aflac Inc,USD,0000004977,US0010551028,001055102,New York Stock Exchange,NYSE,Insurance Life,https://www.aflac.com/,"Aflac Incorporated, through its subsidiaries, provides supplemental health and life insurance products. It operates through two segments, Aflac Japan and Aflac U.S. The Aflac Japan segment offers cancer, medical, income support, and whole and term life insurance products, as well as WAYS and child endowment plans under saving type insurance products. The Aflac U.S. segment provides cancer, accident, short-term disability, critical illness, hospital indemnity, dental, vision, and term and whole life insurance products in the United States. It sells its products through sales associates, brokers, independent corporate agencies, individual agencies, and affiliated corporate agencies. The company was founded in 1955 and is headquartered in Columbus, Georgia.",Mr. Daniel Amos,Financial Services,US,11729,17063233431,1932 WYNNTON RD,Columbus,GEORGIA,31999,,43.2092,https://financialmodelingprep.com/image-stock/AFL.png,1974-06-15,False
19,AGN,3.84,1.640809,1.0,23536896,1.48,1.7-5.0,0.0,Allergan plc,USD,0001578845,,,New York Stock Exchange,NYSE,Drug Manufacturers General,http://www.allergan.com,,None,Healthcare,,,,,,,,-160.21,0.0,https://financialmodelingprep.com/image-stock/AGN.png,,False
