,symbol,name,price,changesPercentage,change,dayLow,dayHigh,yearHigh,yearLow,marketCap,priceAvg50,priceAvg200,volume,avgVolume,exchange,open,previousClose,eps,pe,earningsAnnouncement,sharesOutstanding,timestamp
10,ADI,"Analog Devices, Inc.",153.2,2.98,4.44,148.76,153.3,162.98,79.08,56592691200.0,151.3975,130.49438,2059907.0,2648355.0,NASDAQ,150.16,148.76,3.28,46.707317,2021-02-17T13:30:00.000+0000,369403990.0,1612826399
11,ADM,Archer-Daniels-Midland Company,53.65,1.36,0.72,53.135,53.82,53.99,28.92,29834981376.0,51.312813,48.228104,2232689.0,2461509.0,NYSE,53.3,52.93,3.147,17.047983,2021-01-26T07:00:01.000+0000,556104033.0,1612826399
12,ADP,"Automatic Data Processing, Inc.",167.92,0.38,0.64,166.5,168.73,182.32,103.11,71859683328.0,168.43968,155.10022,1623376.0,1701895.0,NASDAQ,167.96,167.28,5.77,29.102253,2021-01-27T07:00:09.000+0000,427939991.0,1612826399
13,ADS,Alliance Data Systems Corporation,86.51,1.94,1.65,83.24,86.76,107.0,20.51,4292782080.0,72.61938,58.39781,723117.0,1090313.0,NYSE,84.8,84.86,4.463,19.383823,2021-01-28T07:30:10.000+0000,49621802.0,1612826399
14,ADSK,"Autodesk, Inc.",302.81,-1.0,-3.05,302.12,310.07,321.13,125.38,66584584192.0,301.34344,260.64343,927073.0,1440727.0,NASDAQ,308.33,305.86,1.928,157.05913,2021-02-25T21:00:00.000+0000,219888987.0,1612826399
15,AEE,Ameren Corporation,72.59,-2.17,-1.61,72.26,74.45,87.66,58.74,17944756224.0,74.79656,78.792625,1636579.0,1631850.0,NYSE,74.29,74.2,3.423,21.206543,2021-02-18T21:00:00.000+0000,247207001.0,1612826399
16,AEP,"American Electric Power Company, Inc.",80.98,-1.47,-1.21,80.4,82.39,104.63,65.14,40197664768.0,80.965,83.906494,2022583.0,3023100.0,NASDAQ,82.37,82.19,3.862,20.96841,2020-10-22T06:57:04.000+0000,496390032.0,1612826399
17,AES,The AES Corporation,27.68,3.05,0.82,26.95,27.96,28.68,8.11,18410825728.0,25.10875,20.408249,8430400.0,6366022.0,NYSE,27.15,26.86,-0.526,,2021-02-25T13:30:00.000+0000,665130987.0,1612826399
18,AFL,Aflac Incorporated,46.28,1.83,0.83,45.56,46.48,53.35,23.07,32046770176.0,45.191875,40.23752,4668298.0,3906439.0,NYSE,45.71,45.45,6.67,6.9385304,2021-02-03T16:05:11.000+0000,692453980.0,1612826399
19,AGN,Allergan plc,24.38,-0.41,-0.1,24.31,24.54,26.14,13.12,166739200.0,24.321312,23.464348,12479.0,9411.0,NYSE,24.615,24.48,,,,6839180.0,1612826399
20,AIG,"American International Group, Inc.",42.29,1.46,0.61,41.47,42.32,56.42,16.07,36433936384.0,39.233437,34.00299,3896427.0,5115132.0,NYSE,41.65,41.68,-5.725,,2021-02-16T21:00:00.000+0000,861526044.0,1612826399
21,AIV,Apartment Investment and Management Company,4.9,1.45,0.07,4.85,4.93,7.422946,3.2702024,729443392.0,4.88375,4.640555,3413375.0,13182913.0,NYSE,4.88,4.83,1.275,3.8431375,2020-10-29T17:06:00.000+0000,148865998.0,1612826399
22,AIZ,"Assurant, Inc.",135.44,0.8,1.08,134.1,135.76,143.67,76.27,7958346240.0,135.32407,126.771164,392168.0,408614.0,NYSE,134.81,134.36,6.751,20.062214,2021-02-09T21:00:00.000+0000,58759201.0,1612826399
23,AJG,Arthur J. Gallagher & Co.,117.68,-0.61,-0.72,116.86,119.11,129.12,65.09,22788849664.0,119.20219,111.32818,980095.0,844218.0,NYSE,118.65,118.4,4.2,28.019049,2021-01-28T16:15:09.000+0000,193651000.0,1612826399
24,AKAM,"Akamai Technologies, Inc.",117.28,2.28,2.61,114.83,117.84,124.91,75.18,19092480000.0,108.04562,107.46562,1323678.0,1663388.0,NASDAQ,115.47,114.67,3.411,34.382877,2021-02-09T21:00:00.000+0000,162793997.0,1612826399
25,ALB,Albemarle Corporation,161.56,2.79,4.39,158.82,163.855,188.35,48.89,17264463872.0,166.1525,118.01942,2523055.0,1678704.0,NYSE,160.0,157.17,3.59,45.002785,2021-02-17T21:00:00.000+0000,106861004.0,1612826399
26,ALGN,"Align Technology, Inc.",602.44,-2.9,-18.01,595.78,630.0,634.46,127.88,47502635008.0,545.97217,417.2627,607943.0,543398.0,NASDAQ,622.19,620.45,22.41,26.882643,2021-04-28T10:59:00.000+0000,78850400.0,1612826399
27,ALK,"Alaska Air Group, Inc.",57.08,5.35,2.9,54.5901,57.6,66.96,20.02,7058741248.0,52.019688,43.667736,1754484.0,2046273.0,NYSE,54.6,54.18,-10.59,,2021-01-26T08:00:16.000+0000,123664002.0,1612826399
28,ALL,The Allstate Corporation,107.38,0.43,0.46,105.95,107.46,125.92,64.13,32664242176.0,108.800934,98.66635,1909025.0,1846790.0,NYSE,107.0,106.92,17.31,6.2033505,2021-05-05T20:00:00.000+0000,304192980.0,1612826399
29,ALLE,Allegion plc,117.03,2.85,3.24,113.725,117.19,139.24,77.37,10771323904.0,114.18656,106.76328,682073.0,686406.0,NYSE,114.86,113.79,3.239,36.13152,2021-02-16T13:30:00.000+0000,92038998.0,1612826399
30,ALXN,"Alexion Pharmaceuticals, Inc.",154.5,0.38,0.58,154.28,155.75,162.6,72.67,33792393216.0,156.30719,125.91029,1618429.0,2828232.0,NASDAQ,154.74,153.92,2.72,56.80147,2021-02-04T08:00:01.000+0000,218720992.0,1612826399
31,AMAT,"Applied Materials, Inc.",106.19,5.44,5.48,101.8701,106.24,110.88,36.64,97446420480.0,96.75781,74.15314,6253824.0,7144306.0,NASDAQ,101.85,100.71,3.92,27.089285,2021-02-18T21:00:00.000+0000,917660990.0,1612826399
32,AMCR,Amcor plc,11.47,0.0,0.0,11.315,11.53,12.4,5.8,17915912192.0,11.345938,11.221825,6383279.0,5913022.0,NYSE,11.45,11.47,0.313,36.64537,2021-02-02T17:30:00.000+0000,1561980139.0,1612826399
33,AMD,"Advanced Micro Devices, Inc.",91.47,4.06,3.57,87.98,91.99,99.23,36.75,110795784192.0,91.18781,84.8857,46043678.0,43765855.0,NASDAQ,88.31,87.9,2.064,44.316864,2021-01-26T16:10:01.000+0000,1211280028.0,1612826399
34,AME,"AMETEK, Inc.",119.89,2.47,2.89,117.6842,120.12,125.81,54.82,27582492672.0,118.70344,108.6808,1291083.0,965990.0,NYSE,117.84,117.0,3.77,31.801062,2021-02-04T06:55:02.000+0000,230064999.0,1612826399
35,AMGN,Amgen Inc.,237.57,0.53,1.25,235.85,239.63,276.69,177.05,137315467264.0,237.95781,237.97635,1985730.0,2566880.0,NASDAQ,237.99,236.32,12.31,19.298944,2021-02-02T16:01:05.000+0000,578000031.0,1612826399
36,AMP,"Ameriprise Financial, Inc.",213.31,1.07,2.25,210.94,213.51,214.5,80.01,24914608128.0,200.64594,174.90277,392667.0,678088.0,NYSE,211.31,211.06,12.2,17.484426,2021-01-27T16:08:00.000+0000,116800001.0,1612826399
37,AMT,American Tower Corporation (REIT),232.79,-0.09,-0.2,228.8,233.37,272.2,174.32,103408336896.0,223.07094,237.63963,1774383.0,2342936.0,NYSE,233.02,232.99,4.23,55.033096,2021-02-25T07:00:00.000+0000,444212968.0,1612826399
38,AMZN,"Amazon.com, Inc.",3322.94,-0.87,-29.21,3304.0,3365.0,3552.25,1626.03,1673316270080.0,3232.465,3194.821,3138944.0,3870722.0,NASDAQ,3358.5,3352.15,41.83,79.439156,2021-02-02T16:03:00.000+0000,503564997.0,1612826399
39,ANET,"Arista Networks, Inc.",320.09,-0.57,-1.82,318.59,324.6725,324.6725,156.63,24218490880.0,303.48187,251.32234,330047.0,580796.0,NYSE,323.29,321.91,8.938,35.812263,2021-02-18T21:00:00.000+0000,75661504.0,1612826399
40,ANSS,"ANSYS, Inc.",381.97,0.66,2.49,379.48,383.76,384.66,200.07,32805148672.0,366.3481,334.14606,292825.0,405480.0,NASDAQ,381.11,379.48,4.399,86.83109,2021-02-24T21:00:00.000+0000,85884097.0,1612826399
41,ANTM,"Anthem, Inc.",287.7,-1.08,-3.15,286.04,292.68,340.98,171.03,71552147456.0,314.06595,295.38977,1435751.0,1273078.0,NYSE,292.08,290.85,17.979,16.002003,2021-04-21T06:00:00.000+0000,248704023.0,1612826399
42,AON,Aon plc,225.64,1.08,2.42,221.12,225.72,238.19,143.93,52269506560.0,207.73875,203.28314,1442155.0,1600662.0,NYSE,223.87,223.22,8.454,26.690323,2021-02-05T06:00:00.000+0000,231650002.0,1612826399
43,AOS,A. O. Smith Corporation,61.38,2.3,1.38,60.215,61.415,61.415,33.81,9910905856.0,56.347813,53.639854,865573.0,1149486.0,NYSE,60.3,60.0,2.12,28.952833,2021-01-28T06:55:03.000+0000,161468000.0,1612826399
44,APA,Apache Corporation,17.84,9.99,1.62,16.5033,17.91,29.21,3.8,6734208000.0,15.88125,13.241386,10615024.0,10286288.0,NASDAQ,16.56,16.22,-20.783,,2021-02-24T21:00:00.000+0000,377478027.0,1612826399
45,APD,"Air Products and Chemicals, Inc.",253.64,0.19,0.49,251.88,260.99,327.89,167.43,56124694528.0,275.7422,284.65933,2055273.0,1501200.0,NYSE,259.95,253.15,8.512,29.797932,2021-02-04T06:00:13.000+0000,221276985.0,1612826399
46,APH,Amphenol Corporation,132.3,2.16,2.8,130.19,132.39,137.18,63.05,39578210304.0,130.59282,118.86102,1022589.0,1324281.0,NYSE,130.26,129.5,3.91,33.83632,2021-01-27T08:00:01.000+0000,299155029.0,1612826399
47,APTV,Aptiv PLC,148.77,1.11,1.64,146.0737,149.38,152.78,29.22,40171618304.0,137.38031,107.08365,1652511.0,1803121.0,NYSE,148.0,147.13,6.664,22.32443,2021-02-03T06:45:05.000+0000,270024994.0,1612826399
48,ARE,"Alexandria Real Estate Equities, Inc.",170.42,-0.75,-1.28,170.1,172.41,179.79,109.22,23295219712.0,169.92062,166.7246,750272.0,913785.0,NYSE,171.71,171.7,6.01,28.356071,2021-02-01T16:10:07.000+0000,136692992.0,1612826399
49,ARNC,Arconic Inc.,26.62,1.76,0.46,25.95,27.0941,31.59,5.8,2905440000.0,28.322813,24.56889,695608.0,879314.0,NYSE,26.45,26.16,1.567,16.987875,2020-11-05T13:30:00.000+0000,109145004.0,1612826399
50,ATO,Atmos Energy Corporation,89.08,0.03,0.03,88.59,89.81,121.08,77.92,11416582144.0,90.504684,96.37876,886625.0,1062001.0,NYSE,89.19,89.05,5.147,17.30717,2021-02-02T16:36:00.000+0000,128161003.0,1612826399
51,ATVI,"Activision Blizzard, Inc.",101.19,-0.41,-0.42,100.395,103.08,104.23,50.51,78205403136.0,91.63375,83.24562,5640723.0,6738191.0,NASDAQ,102.05,101.61,2.82,35.88298,2021-02-04T16:05:01.000+0000,772857033.0,1612826399
52,AVB,"AvalonBay Communities, Inc.",173.33,0.64,1.11,170.49,173.67,229.4,118.17,24198426624.0,161.90906,157.48679,800693.0,1039496.0,NYSE,172.0,172.22,5.89,29.427845,2021-02-03T16:15:00.000+0000,139608992.0,1612826399
53,AVGO,Broadcom Inc.,472.7,1.44,6.69,465.58,473.42,478.52,155.67,192253231104.0,448.08218,383.52512,1680385.0,1670278.0,NASDAQ,468.75,466.01,6.328,74.699745,2021-03-04T21:00:00.000+0000,406712992.0,1612826399
54,AVY,Avery Dennison Corporation,174.89,1.04,1.8,170.7808,175.58,175.58,76.96,14588920832.0,157.34969,137.76993,531326.0,472427.0,NYSE,172.83,173.09,6.61,26.458395,2021-02-03T06:45:00.000+0000,83417696.0,1612826399
55,AWK,"American Water Works Company, Inc.",162.22,-1.69,-2.79,161.11,165.22,172.56,92.0,29405943808.0,156.55594,151.15985,686420.0,897801.0,NYSE,164.95,165.01,3.65,44.443836,2021-02-25T13:30:00.000+0000,181272000.0,1612826399
56,AXP,American Express Company,127.99,1.35,1.71,126.745,128.4,138.04,67.0,103057801216.0,120.67344,108.64825,3360205.0,4297836.0,NYSE,126.87,126.28,3.77,33.9496,2021-01-26T07:00:00.000+0000,805201978.0,1612826399
57,AZO,"AutoZone, Inc.",1224.95,0.37,4.52,1219.71,1234.27,1297.82,684.91,27878758400.0,1207.4137,1181.0114,161187.0,271386.0,NYSE,1220.43,1220.43,76.326,16.048922,2020-12-08T06:55:00.000+0000,22759099.0,1612826399
58,BA,The Boeing Company,211.95,1.93,4.02,208.3,211.99,349.95,89.0,123566211072.0,208.48906,185.78839,11156327.0,19482416.0,NYSE,209.55,207.93,-20.88,,2021-01-27T07:30:11.000+0000,582996985.0,1612826399
59,BAC,Bank of America Corporation,33.09,2.22,0.72,32.4,33.28,35.45,17.95,286255316992.0,31.318125,27.124891,45959182.0,53992077.0,NYSE,32.43,32.37,1.87,17.695187,2021-04-15T12:30:00.000+0000,8650810426.0,1612826399
60,BAX,Baxter International Inc.,77.6,0.39,0.3,77.01,78.165,95.19,69.1,39639474176.0,79.412186,80.74635,2204316.0,3055693.0,NYSE,77.54,77.3,2.13,36.431923,2021-02-04T07:15:00.000+0000,510817966.0,1612826399
61,BBY,"Best Buy Co., Inc.",117.9,2.94,3.37,114.98,117.96,124.89,48.11,30529615872.0,108.67875,109.81372,1714311.0,3276739.0,NYSE,115.0,114.53,6.562,17.967085,2021-02-25T13:30:00.000+0000,258945003.0,1612826399
62,BDX,"Becton, Dickinson and Company",256.82,0.84,2.14,255.03,258.37,284.97,197.75,74621624320.0,255.26094,246.1008,1341170.0,1464739.0,NYSE,255.03,254.68,5.256,48.862255,2021-02-04T06:00:04.000+0000,290560020.0,1612826399
63,BEN,"Franklin Resources, Inc.",26.59,2.82,0.73,26.0,26.61,28.59,14.91,13438692352.0,25.870937,22.551533,2320768.0,3789226.0,NYSE,26.03,25.86,1.558,17.066753,2021-02-02T08:30:00.000+0000,505404000.0,1612826399
64,BF.B,Brown-Forman Corporation Class B,,0.0,,,,,,,,,,,NYSE,,,,,2018-06-06T12:00:00.000+0000,,1612826399
65,BIIB,Biogen Inc.,268.93,1.45,3.84,265.0,270.14,363.92,223.25,40967720960.0,261.51688,267.7049,963223.0,1538745.0,NASDAQ,266.56,265.09,24.8,10.843951,2021-02-03T13:30:00.000+0000,152336002.0,1612826399
66,BK,The Bank of New York Mellon Corporation,41.95,-0.19,-0.08,41.79,42.44,47.2,26.4,37199753216.0,42.57281,38.37007,3987911.0,5500195.0,NYSE,42.15,42.03,3.83,10.953003,2021-04-16T12:30:00.000+0000,886764081.0,1612826399
67,BKNG,Booking Holdings Inc.,2099.56,0.15,3.14,2070.79,2131.6555,2290.04,1107.29,85987270656.0,2116.228,1905.2792,209739.0,398140.0,NASDAQ,2117.05,2096.42,33.687,62.325527,2020-11-05T21:00:00.000+0000,40954900.0,1612826399
68,BKR,Baker Hughes Company,22.55,2.97,0.65,22.09,22.82,24.04,9.12,23345113088.0,21.653126,17.493504,4330881.0,6825273.0,NYSE,22.17,21.9,,,2021-01-21T07:00:00.000+0000,1035260004.0,1612826399
69,BLK,"BlackRock, Inc.",726.45,0.02,0.12,720.65,731.7387,788.0,323.98,110807597056.0,726.70404,643.20416,532818.0,660483.0,NYSE,730.68,726.33,31.85,22.808477,2021-01-14T06:16:30.000+0000,152532999.0,1612826399
70,BLL,Ball Corporation,89.72,0.37,0.33,89.43,90.53,102.76,51.26,29348489216.0,90.57906,87.03409,1536581.0,1751186.0,NYSE,90.08,89.39,1.76,50.977272,2021-02-04T06:00:14.000+0000,327112006.0,1612826399
71,BMY,Bristol-Myers Squibb Company,60.23,-1.13,-0.69,59.67,61.366,67.55,45.76,136104730624.0,62.989063,61.48175,18855055.0,11058314.0,NYSE,61.35,60.92,-3.992,,2021-02-04T06:59:00.000+0000,2259749803.0,1612826399
72,BR,"Broadridge Financial Solutions, Inc.",143.09,-0.72,-1.04,142.4,144.92,158.36,81.9,16569678848.0,150.14719,142.47891,599740.0,575314.0,NYSE,144.66,144.13,4.425,32.33672,2021-02-02T07:00:30.000+0000,115799000.0,1612826399
73,BRK.B,Berkshire Hathaway Inc. Class B,,0.0,,,,,,,,,,,NYSE,,,,,,,1612826399
74,BSX,Boston Scientific Corporation,39.57,1.57,0.61,38.92,39.68,43.44,24.1,56039825408.0,36.194374,37.32073,10352938.0,13524970.0,NYSE,38.92,38.96,2.605,15.190019,2021-02-03T06:30:04.000+0000,1416220000.0,1612826399
75,BWA,BorgWarner Inc.,43.44,0.79,0.34,42.76,43.67,46.48,17.0,10621904896.0,40.794064,39.52788,2439885.0,2539621.0,NYSE,43.26,43.1,1.76,24.681818,2021-02-11T13:30:00.000+0000,244518989.0,1612826399
76,BXP,"Boston Properties, Inc.",95.35,3.51,3.23,92.02,95.51,147.83,69.69,14847807488.0,92.159065,88.656494,1132034.0,1384334.0,NYSE,92.3,92.12,5.54,17.211191,2021-01-26T16:30:01.000+0000,155719009.0,1612826399
77,C,Citigroup Inc.,63.65,1.71,1.07,62.85,63.71,80.77,32.0,132525662208.0,62.235313,52.417374,15043232.0,22386090.0,NYSE,63.09,62.58,4.874,13.059089,2021-04-15T12:30:00.000+0000,2082099956.0,1612826399
78,CAG,"Conagra Brands, Inc.",34.8,0.52,0.18,34.34,34.85,39.34,22.83,17002549248.0,34.895626,36.132774,3250476.0,3596436.0,NYSE,34.85,34.62,2.271,15.323647,2021-01-07T07:30:00.000+0000,488579001.0,1612826399
79,CAH,"Cardinal Health, Inc.",52.91,-2.49,-1.35,51.81,54.5,60.69,39.05,15524904960.0,54.66969,52.168613,4018414.0,2013126.0,NYSE,54.35,54.26,4.705,11.245483,2021-02-05T06:55:04.000+0000,293420997.0,1612826399
80,CAT,Caterpillar Inc.,197.45,2.31,4.45,194.67,197.54,200.17,87.5,107266285568.0,187.67062,163.7681,2718875.0,2944413.0,NYSE,195.0,193.0,5.46,36.163002,2021-01-29T06:30:00.000+0000,543257967.0,1612826399
81,CB,Chubb Limited,166.18,2.23,3.63,161.22,166.28,166.28,87.35,75008000000.0,153.1275,136.80176,2055993.0,1746724.0,NYSE,161.72,162.55,7.79,21.332478,2021-02-02T16:05:06.000+0000,451365989.0,1612826399
82,CBOE,"Cboe Global Markets, Inc.",92.01,2.74,2.45,88.95,92.325,126.17,72.01,9940944896.0,94.60844,89.4754,1259537.0,765047.0,ETF,90.9,89.56,4.555,20.199781,2021-02-05T07:30:36.000+0000,108042005.0,1612826399
83,CBRE,"CBRE Group, Inc.",67.93,0.76,0.51,66.87,67.9699,68.19,29.17,22787526656.0,63.20844,53.953213,810817.0,1878536.0,NYSE,67.5,67.42,3.187,21.314716,2021-02-23T13:30:00.000+0000,335456008.0,1612826399
84,CCI,Crown Castle International Corp. (REIT),160.9,-0.84,-1.36,157.2,162.035,180.0,114.18,69395841024.0,157.32407,161.95993,2553976.0,2265975.0,NYSE,161.98,162.26,2.35,68.46809,2021-01-27T16:15:00.000+0000,431297955.0,1612826399
85,CCL,Carnival Corporation & Plc,21.61,1.41,0.3,21.245,21.81,44.44,7.8,24123676672.0,20.403126,17.357225,22106867.0,51171778.0,NYSE,21.6,21.31,-13.208,,2021-01-11T09:15:00.000+0000,1116320068.0,1612826399
86,CDNS,"Cadence Design Systems, Inc.",137.58,1.31,1.78,136.66,138.43,142.11,51.39,38375329792.0,134.84468,116.65037,1102253.0,1487804.0,NASDAQ,137.17,135.8,3.857,35.670208,2021-02-22T21:00:00.000+0000,278931020.0,1612826399
87,CDW,CDW Corporation,150.39,-0.38,-0.58,150.02,153.95,153.95,73.39,21503965184.0,134.29312,125.6646,1427075.0,900954.0,NASDAQ,152.08,150.97,5.07,29.662722,2021-02-10T13:30:00.000+0000,142987999.0,1612826399
88,CE,Celanese Corporation,130.04,2.68,3.4,127.5,130.28,140.09,52.7,15201025024.0,130.08531,117.79051,680647.0,926406.0,NYSE,127.68,126.64,16.749,7.764045,2021-01-28T16:25:00.000+0000,116894994.0,1612826399
89,CERN,Cerner Corporation,78.5,-1.65,-1.32,78.14,80.22,84.2,53.08,24067315712.0,79.41375,74.16533,2371715.0,1497388.0,NASDAQ,79.79,79.82,2.559,30.676044,2021-02-10T21:00:00.000+0000,306590009.0,1612826399
90,CF,"CF Industries Holdings, Inc.",43.97,1.92,0.83,43.33,44.42,47.0,19.73,9405886464.0,41.617813,34.64679,1443705.0,2611208.0,NYSE,43.68,43.14,1.322,33.260212,2021-02-17T21:00:00.000+0000,213915999.0,1612826399
91,CFG,"Citizens Financial Group, Inc.",40.48,1.35,0.54,39.99,40.75,41.67,14.12,17293459456.0,37.796875,30.6146,2908189.0,3801014.0,NYSE,40.11,39.94,2.22,18.234234,2021-04-16T12:30:00.000+0000,427209967.0,1612826399
92,CHD,"Church & Dwight Co., Inc.",82.33,-0.65,-0.54,81.895,83.45,98.96,47.98,20199665664.0,85.49781,89.68657,1133476.0,1524175.0,NYSE,83.04,82.87,3.12,26.387821,2021-01-29T06:55:00.000+0000,245350002.0,1612826399
93,CHRW,"C.H. Robinson Worldwide, Inc.",89.97,1.27,1.13,88.89,90.09,106.75,56.94,12231061504.0,93.655624,95.74861,953763.0,1239490.0,NASDAQ,89.2,88.84,3.72,24.185484,2021-01-26T16:15:16.000+0000,135945999.0,1612826399
94,CHTR,"Charter Communications, Inc.",615.53,-0.34,-2.12,610.94,619.69,681.71,345.67,119247249408.0,635.9963,623.97736,869248.0,1151277.0,NASDAQ,616.63,617.65,15.4,39.969482,2021-01-29T07:00:00.000+0000,193731011.0,1612826399
95,CI,Cigna Corporation,206.05,1.29,2.62,203.1,207.13,230.9,118.5,72235155456.0,213.22,192.10336,1897637.0,1867836.0,NYSE,204.06,203.43,22.959,8.974694,2021-05-07T12:30:00.000+0000,350571004.0,1612826399
96,CINF,Cincinnati Financial Corporation,87.66,1.1,0.95,86.63,87.82,115.53,46.07,14104230912.0,87.61219,81.067154,500291.0,969334.0,NASDAQ,87.07,86.71,4.871,17.996305,2021-02-10T21:00:00.000+0000,160896999.0,1612826399
97,CL,Colgate-Palmolive Company,79.7,-0.21,-0.17,79.27,80.13,86.41,58.49,68316368896.0,81.62281,80.24219,3828281.0,4055318.0,NYSE,80.0,79.87,3.14,25.382164,2021-04-30T12:30:00.000+0000,857168995.0,1612826399
98,CLX,The Clorox Company,190.0,-0.65,-1.25,188.83,192.31,239.87,155.83,23900289024.0,201.39844,211.17862,2332473.0,1712472.0,NYSE,191.67,191.25,9.557,19.880716,2021-02-04T06:30:05.000+0000,125790995.0,1612826399
99,CMA,Comerica Incorporated,63.2,0.89,0.56,62.32,63.26,66.08,24.28,8795355136.0,59.71875,47.551605,797509.0,1753024.0,NYSE,62.69,62.64,3.27,19.327217,2021-04-20T12:30:00.000+0000,139167012.0,1612826399
100,CMCSA,Comcast Corporation,51.85,1.45,0.74,51.02,52.08,52.49,31.71,237507231744.0,50.27625,46.983505,13555670.0,18201890.0,NASDAQ,51.06,51.11,2.28,22.741228,2021-01-28T07:00:00.000+0000,4580660207.0,1612826399
101,CME,CME Group Inc.,191.74,0.18,0.35,190.24,193.67,225.36,131.8,68832935936.0,187.35219,173.1027,1975568.0,1671485.0,NASDAQ,192.94,191.39,6.0,31.956667,2021-02-10T13:30:00.000+0000,358991008.0,1612826399
102,CMG,"Chipotle Mexican Grill, Inc.",1504.0,-0.19,-2.88,1491.7,1511.9,1553.55,415.0,42113503232.0,1433.011,1305.7351,208661.0,283396.0,NYSE,1507.77,1506.88,12.52,120.12779,2021-02-02T16:10:05.000+0000,28000999.0,1612826399
103,CMI,Cummins Inc.,238.61,3.91,8.98,234.0,238.76,254.13,101.03,35315953664.0,234.04094,219.98372,1348723.0,1127052.0,NYSE,237.05,229.63,12.01,19.86761,2021-02-04T07:30:00.000+0000,148007014.0,1612826399
104,CMS,CMS Energy Corporation,56.44,-1.76,-1.01,56.05,57.65,69.17,46.03,16160691200.0,58.150314,61.333138,2412334.0,1852855.0,NYSE,57.39,57.45,2.64,21.378786,2021-02-04T08:00:14.000+0000,286334004.0,1612826399
105,CNC,Centene Corporation,58.24,-1.09,-0.64,57.77,59.43,74.7,43.96,33767438336.0,61.887188,62.565254,4190564.0,3749436.0,NYSE,59.17,58.88,3.772,15.440085,2021-02-09T06:00:00.000+0000,579798048.0,1612826399
106,CNP,"CenterPoint Energy, Inc.",21.03,-1.73,-0.37,20.935,21.43,27.53,11.58,11457586176.0,21.31125,21.130146,3872923.0,5020478.0,NYSE,21.34,21.4,-1.882,,2021-02-25T13:30:00.000+0000,544821026.0,1612826399
107,COF,Capital One Financial Corporation,116.0,1.33,1.52,114.8,116.91,116.91,38.0,53243998208.0,104.94406,83.065475,3391007.0,3304749.0,NYSE,115.01,114.48,5.183,22.38086,2021-01-26T16:05:14.000+0000,458999985.0,1612826399
108,COG,Cabot Oil & Gas Corporation,17.81,1.42,0.25,17.42,17.92,22.67,13.06,7098709504.0,17.844376,18.196497,5942989.0,5890016.0,NYSE,17.68,17.56,0.532,33.477444,2021-02-18T21:00:00.000+0000,398579983.0,1612826399
